Author;Title;Isbn
Joshua Bloch;Effective Java;978-0134685991
Barry Burd;Beginning Programming with Java For Dummies;978-1119806912
Robert C. Martin;Clean Code: A Handbook of Agile Software Craftsmanship;978-0132350884
